titles,years,genres,imdb,runtime,description,stars,votes,type,original
Natalia Valdebenito: El especial,2018,Comedy,4.7,,Add a Plot,"Raúl Campos, Jan Suter, Natalia Valdebenito",75,TV Show,Netflix
Mo Gilligan: Momentum,2019,Comedy,6.3,64 min,"Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.","Chris Howe, Mo Gilligan",312,TV Show,Netflix
Mo Amer: The Vagabond,2018,"Documentary, Comedy",7.3,56 min,Add a Plot,"Stan Lathan, Mohammed Amer",532,TV Show,Netflix
Mike Epps: Only One Mike,2019,Comedy,4.8,63 min,"A 2019 stand-up comedy special by comedian Mike Epps, where he tackles sexual misconduct, special education, aging body parts and more.","Kevin Bray, Mike Epps",234,TV Show,Netflix
Mike Birbiglia: The New One,2019,Comedy,7.7,85 min,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,"Seth Barrish, Mike Birbiglia","1,350",TV Show,Netflix
Mike Birbiglia: Thank God for Jokes,2017,Comedy,7.5,70 min,Mike Birbiglia tells stories about his life as a semi-famous comedian/filmmaker and reflects on the meaning of good or bad jokes.,"Seth Barrish, Mike Birbiglia, Mike Birbiglia","2,133",TV Show,Netflix
Mike Birbiglia: My Girlfriend's Boyfriend,2013,"Documentary, Comedy, Romance",8,76 min,Mike Birbiglia tells the touching story of his believing and disbelieving in love.,"Seth Barrish, Mike Birbiglia","2,892",TV Show,Netflix
Michelle Wolf: Joke Show,2019,Comedy,7.2,59 min,"Comedian Michelle Wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from New York City.","Lance Bangs, Michelle Wolf","1,206",TV Show,Netflix
Michelle Buteau: Welcome to Buteaupia,2020,Comedy,6.9,58 min,"Letting loose with a goblet of frosé in hand, Michelle Buteau delivers a dynamic hour of comedy that delves into parenthood, cultural difference, and the overlooked value of short men.","Page Hurwitz, Michelle Buteau",231,TV Show,Netflix
Michael McIntyre: Showman,2020,Comedy,7.1,62 min,"Charming comic Michael McIntyre talks family, technology, sharks, accents and the time he confused himself for a world leader in this stand-up special.","Chris Howe, Michael McIntyre",631,TV Show,Netflix
Michael Che Matters,2016,Comedy,7.1,61 min,"Jesus, Guns, Black Lives Matter. White girls dancing, Honest, uncompromising comedy where no topic is out of bounds","Osmany Rodriguez, Michael Che, DJ Cipha Sounds, Jeremy Gaddie, Jeff Motley","2,064",TV Show,Netflix
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,"Comedy, Music, Musical",6.7,54 min,"After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.","Scott Aukerman, Akiva Schaffer, Michael Bolton, Sarah Shahi, Adam Scott, Matthew Kimbrough","1,849",TV Show,Netflix
Maz Jobrani: Immigrant,2017,Comedy,6.7,112 min,"In this very funny comedy show, Maz mainly focuses on current political environment especially by telling jokes about Donald Trump and his anti-immigrant politics. During the show he talks ... See full summary »","Maz Jobrani, Maz Jobrani",712,TV Show,Netflix
Mauricio Meirelles: Generating Chaos,2020,Comedy,6.5,63 min,"He's mid-30s going on 79, with scathingly funny views on fatherhood, marriage and society. Let Maurício Meirelles give you a tour of his chaotic mind.","Diego Pignataro, Maurício Meirelles",92,TV Show,Netflix
Mau Nieto: Viviendo sobrio... desde el bar,2018,Comedy,6.6,,"Performing at a bar, Mexican stand-up comedian Mau Nieto dishes on his modest upbringing, his failed relationships and his attempts to stay sober.","Raúl Campos, Jan Suter, Mau Nieto",66,TV Show,Netflix
"Martin Matte: La vie, la mort... eh la la..!",2019,Comedy,6.5,61 min,Add a Plot,"Jean-François Blais, Martin Matte",72,TV Show,Netflix
Marlon Wayans: Woke-ish,2018,"Documentary, Comedy",6.5,68 min,"An American stand-up comedy special starring Marlon Wayans who jokes about politics, racism, hip-hop, gay rights, and raising kids.","Marcus Raboy, Marlon Wayans, Diana Hernandez","1,235",TV Show,Netflix
Maria Bamford: Old Baby,2017,"Documentary, Comedy",6,64 min,"Maria Bamford performs a rapid-fire, playful stand-up set for crowds at park benches, bowling alleys and LA theaters in this roving comedy special.","Jessica Yu, Maria Bamford, Rhea Butcher, Alex Blue Davis, Melinda Hill",875,TV Show,Netflix
Marco Luque: Tamo Junto,2017,Comedy,4.5,,"Eclectic character comedian Marco Luque plays himself in this stand-up special about relationships, regional differences and his own love of movies.","Caio Cobra, Marco Luque",64,TV Show,Netflix
Marc Maron: Too Real,2017,Comedy,7.2,70 min,"Comedian Marc Maron riffs on topics including Donald Trump, a Rolling Stones concert, and the hat-buying experience.","Lynn Shelton, Marc Maron","1,630",TV Show,Netflix
Marc Maron: End Times Fun,2020,"Documentary, Comedy",6.8,71 min,"Marc Maron wades through a swamp of vitamin hustlers, evangelicals and grown male nerd children, culminating in a gleefully filthy end times fantasy.","Lynn Shelton, Marc Maron","1,451",TV Show,Netflix
Manu Nna: Simplemente Manu NNa,2017,Comedy,5.1,,Eclectic stand-up comic Manu NNa relays everyday tales about the struggles of being gay in Mexico and shares his love of telenovelas and mezcal.,"Raúl Campos, Jan Suter, Manu Nna",43,TV Show,Netflix
Malena Pichot: Estupidez compleja,2018,Comedy,5.4,50 min,"An Argentine comedian who portrays feminism as a banner speaks about sex, language, abortion and explains why it is okay to let man pay for dinner.","Raúl Campos, Jan Suter, Malena Pichot",317,TV Show,Netflix
Lynne Koplitz: Hormonal Beast,2017,Comedy,6.2,51 min,"Unabashed comedian Lynne Koplitz offers a woman's take on being crazy, the benefits of childlessness and the three things all men really want.","Marcus Raboy, Lynne Koplitz",352,TV Show,Netflix
Luciano Mellera: Infantiloide,2018,Comedy,8.3,66 min,Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.,"Raúl Campos, Jan Suter, Luciano Mellera","1,495",TV Show,Netflix
Lucas Lauriente: Todo lo que sería,2018,Comedy,7.7,,"Lucas Lauriente tell us how he met the greatest showman from Argentina, the legendary Hernán Caire. Also talks about how the experience of a parachute jump made him think in his male crush Maluma and Ricky Martin.","Raúl Campos, Jan Suter, Lucas Lauriente",95,TV Show,Netflix
Lucas Brothers: On Drugs,2017,Comedy,5.5,50 min,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.","Jay Chapman, Keith Lucas, Kenneth Lucas",771,TV Show,Netflix
Louis C.K. 2017,2017,Comedy,7.6,74 min,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers, and more in a live performance from Washington D.C.","Louis C.K., Louis C.K., Joe List","8,977",TV Show,Netflix
Los Tigres del Norte at Folsom Prison,2019,"Documentary, Music",6.9,64 min,The band Los Tigres del Norte visit both the male and female inmates of Folsom Prison. Inmates share their stories and how the music of Los Tigres del Norte speaks to them.,"Tom Donahue, Los Tigres del Norte",131,TV Show,Netflix
Liss Pereira: Reteniendo Liquidos,2019,Comedy,6.6,,"Stand up comedy from the Colombian Liss Pereira, about the truths of sex, love, attraction and lies of modern relationships.",Liss Pereira,74,TV Show,Netflix
Leslie Jones: Time Machine,2020,Comedy,5.2,66 min,Leslie Jones discusses being 52 and what she would tell her 20-year-old self in her first Netflix stand-up special.,"David Benioff, D.B. Weiss, Leslie Jones",657,TV Show,Netflix
Kevin James: Never Don't Give Up,2018,Comedy,6.1,62 min,"Kevin James is back with a new stand-up special dishing on parenting, allergies, his fans, and more.","Andy Fickman, Kevin James","1,241",TV Show,Netflix
Kevin Hart: Irresponsible,2019,Comedy,6.5,60 min,"Stand-up comedian Kevin Hart talks about his family, travel and a year full of reckless behavior in front of a live sold-out crowd in London.","Leslie Small, Kevin Hart","3,475",TV Show,Netflix
Kenny Sebastian: The Most Interesting Person in the Room,2020,Comedy,6,67 min,"Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough.","Angshuman Ghosh, Neville Shah, Kenneth Sebastian",431,TV Show,Netflix
"Ken Jeong: You Complete Me, Ho",2019,Comedy,5.7,62 min,"Stand-up performance of comedian Ken Jeong recorded live at Pasadena, California.","Jon M. Chu, Ken Jeong","2,015",TV Show,Netflix
Kavin Jay: Everybody Calm Down!,2018,"Documentary, Comedy",5.8,53 min,"Childhood, Vhs and partnership between Singapore and Malaysia according to the famous stand-up comedian Kavin Jay.","Michael McKay, Kavin Jay",190,TV Show,Netflix
Katt Williams: Great America,2018,Comedy,6.1,60 min,"Live performance of comedian Katt Williams riffing on the current state of politics, racial tensions and sex.","Leslie Small, Katt Williams",827,TV Show,Netflix
Katherine Ryan: In Trouble,2017,Comedy,6.9,63 min,"Canadian comic Katherine Ryan explains the perks of dating younger men. She talks about her unusual relationships, living in the hometown she hates and how she once enraged an entire nation.","Colin Dench, Katherine Ryan","1,823",TV Show,Netflix
Katherine Ryan: Glitter Room,2019,Comedy,6.7,65 min,"Canadian comic Katherine Ryan's stand-up special packed with anecdotes, jokes, and a pertinent take on society.","Linda Mendoza, Katherine Ryan","1,372",TV Show,Netflix
Judd Apatow: The Return,2017,Comedy,6.2,69 min,"Judd Apatow returns to stand-up comedy after 25 years, riffing on living with three women, amusing moments from his career and much more.","Marcus Raboy, Judd Apatow","1,190",TV Show,Netflix
Judah Friedlander: America is the Greatest Country in the United States,2017,Comedy,7.8,84 min,"Deadpan comic and self-proclaimed world champion Judah Friedlander performs over several nights in New York, explaining why America is No. 1.","Judah Friedlander, Judah Friedlander","1,205",TV Show,Netflix
John Mulaney: The Comeback Kid,2015,Comedy,8,62 min,"Armed with boyish charm and a sharp wit, the former SNL writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.","Rhys Thomas, Petunia, John Mulaney, Amanda Walsh","6,694",TV Show,Netflix
John Mulaney: Kid Gorgeous at Radio City,2018,Comedy,8,65 min,"John Mulaney relays stories from his childhood and Saturday Night Live (1975), eviscerates the value of college, and laments getting older in this comedy special. Other topics include the church, his family, Trump and pedophiles abducting kids.","Alex Timbers, John Mulaney, Jon Brion, Carole Shelley","5,861",TV Show,Netflix
John Mulaney & the Sack Lunch Bunch,2019,"Comedy, Family, Musical",7.4,70 min,"John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.","Rhys Thomas, John Mulaney, Alexander Bello, Tyler Bourke, Ava Briglia","2,966",TV Show,Netflix
Joe Rogan: Triggered,2016,Comedy,7.5,63 min,"Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins.","Anthony Giordano, Joe Rogan","3,876",TV Show,Netflix
Joe Rogan: Strange Times,2018,Comedy,7.4,63 min,"Outspoken as ever, comedian Joe Rogan takes on current culture, pro wrestling, pot laws, cats, vegans and more in a stand-up special shot in Boston.","Anthony Giordano, Joe Rogan","3,532",TV Show,Netflix
Joe Mande's Award-Winning Comedy Special,2017,"Documentary, Comedy",6.1,66 min,Comedian Joe Mande performs an hour of stand up in the hope of winning the prestigious American Humour Award.,"Daniel Gray Longino, Joe Mande, Bo Burnham, Ron Funches, Blake Griffin",421,TV Show,Netflix
Jo Koy: Live from Seattle,2017,Comedy,7.2,62 min,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you about it.","Shannon Hartman, Jo Koy","1,098",TV Show,Netflix
Jo Koy: In His Elements,2020,Comedy,5.1,55 min,"Jo Koy returns to the Philippines to show off the local culture and headline a special featuring Filipino American comedians, DJs and hip-hop dancers.","Michael McKay, A, Fateeha, Joey Guila, Jo Koy",350,TV Show,Netflix
Jo Koy: In His Elements,2020,Comedy,5.1,55 min,"Jo Koy returns to the Philippines to show off the local culture and headline a special featuring Filipino American comedians, DJs and hip-hop dancers.","Michael McKay, A, Fateeha, Joey Guila, Jo Koy",350,TV Show,Netflix
Jo Koy: Comin' in Hot,2019,Comedy,7.3,60 min,"Comedian Jo Koy takes center stage in Hawaii, and shares his candid take on cultural curiosities, filter free fatherhood, and more.","Shannon Hartman, Jo Koy",708,TV Show,Netflix
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,2019,Comedy,7.3,58 min,Nothing is off limits as Jimmy Carr serves up the best jokes from his storied stand-up career in a special that's as inappropriate as it is hilarious.,"Brian Klein, Jimmy Carr","1,570",TV Show,Netflix
Jim Norton: Mouthful of Shame,2017,Comedy,6.9,61 min,"In this unrestricted jaunt, comic Jim Norton offers a personal perspective on romance, desire, and sexual proclivities.","Shannon Hartman, Jim Norton, Louis C.K., Robert De Niro, Ricky Gervais","1,224",TV Show,Netflix
Jim Jefferies: This Is Me Now,2018,Comedy,7.4,70 min,"The gleefully irreverent Jefferies skewers ""grabby"" celebrities, political hypocrisy and his own ill-advised career moves in a brash stand-up special.","Scott Zabielski, Jim Jefferies","3,427",TV Show,Netflix
Jim Jefferies: Intolerant,2020,Comedy,7.1,66 min,"Between scenes from an excruciating date, Jim Jefferies digs into generational differences, his own bad habits and the shifting boundaries in comedy.","Scott Zabielski, Jim Jefferies","1,852",TV Show,Netflix
Jim Jefferies: Freedumb,2016,Comedy,7.7,86 min,"Jim Jefferies talks about family life and challenges the idea of American freedom live on stage in Nashville, Tennessee.","Ryan Polito, Jim Jefferies","4,776",TV Show,Netflix
Jim Jefferies: BARE,2014,Comedy,8.1,77 min,Covers topics from gun control to family values.,"Shannon Hartman, Jim Jefferies","4,825",TV Show,Netflix
Jim Gaffigan: Cinco,2017,Comedy,7.1,73 min,The king of clean comedy returns for his fifth hour long comedy special.,"Jeannie Gaffigan, Jim Gaffigan, Marre Gaffigan, Katie Gaffigan, Jack Gaffigan","2,048",TV Show,Netflix
Jerry Seinfeld: 23 Hours to Kill,2020,Comedy,6.6,60 min,"Comedian Jerry Seinfeld performs at the Beacon Theatre in New York City with his take on everyday life, uncovering comedy in the commonplace.","Joe DeMaio, Steven Rimdzius, Jerry Seinfeld","4,094",TV Show,Netflix
Jerry Before Seinfeld,2017,Comedy,7,62 min,Comedian Jerry Seinfeld takes the stage at the comedy club where he began his career to recount his early life.,"Michael Bonfiglio, Jerry Seinfeld, Jimmy Brogan, Mark Schiff, Carolyn Liebling","5,124",TV Show,Netflix
Jenny Slate: Stage Fright,2019,"Comedy, Reality-TV",5.8,66 min,Jenny Slate's debut stand up-comedy special blends with home videos from her childhood and interviews of her with her family.,"Gillian Robespierre, Jenny Slate","1,064",TV Show,Netflix
Jen Kirkman: Just Keep Livin?,2017,Comedy,6.7,69 min,"Jen Kirkman jokes about women's bodies, meditation, and a ghostly tour guide in her stand-up routine.","Lance Bangs, Jen Kirkman","1,160",TV Show,Netflix
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),2015,Comedy,6.8,78 min,"Jen Kirkman's original comedy special delivers some sharp, hilarious truths about life at 40 as filmed at the North Door in Austin, Texas.","Lance Bangs, Kelly Patton, Wilder S. Patton, Carol Hickey, Fermin Navar","1,372",TV Show,Netflix
Jeff Garlin: Our Man in Chicago,2019,Comedy,5.9,58 min,"Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love, loss, success and food addiction.","Christopher Storer, Jeff Garlin",343,TV Show,Netflix
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,2016,Comedy,5.6,75 min,Comedians Jeff Foxworthy and Larry the Cable Guy bring their distinctive brand of humor to a packed crowd in Minneapolis.,"Jay Karas, Jeff Foxworthy, Nick Hoff, Larry the Cable Guy",555,TV Show,Netflix
Jeff Dunham: Relative Disaster,2017,Comedy,6.4,70 min,"Welcome to Ireland, where Ventriloquist Jeff Dunham is back with his gang of dolls, revealing some relative secrets. The Netflix special stars Walter (Jeff Dunham), Bubba J (Jeff Dunham), ... See full summary »","Michael Simon, Matthew McNeil, Jeff Dunham","1,102",TV Show,Netflix
Jeff Dunham: Beside Himself,2019,Comedy,6.8,58 min,"The ventriloquist, Jeff Dunham, taped his second Netflix special in his hometown of Dallas, TX in the American Airlines Center. He returns with his normal cast of characters including ... See full summary »","Troy Miller, Jeff Dunham",842,TV Show,Netflix
Jani Dueñas: Grandes fracasos de ayer y hoy,2018,Comedy,4.8,,Add a Plot,"Raúl Campos, Jan Suter, Jani Dueñas",68,TV Show,Netflix
Jandino: Whatever it Takes,2016,Comedy,5,95 min,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.","Jandino Asporaat, Giorgio Costa, Lorenzo Elstak, Hubert Lourens",21,TV Show,Netflix
Jack Whitehall: I'm Only Joking,2020,Comedy,6.5,58 min,"Jack Whitehall hits the stage with hilarious tales about happy couples, life in hotels, human stupidity and his well-traveled father.","Dave Skinner, Freddie Waters, Jack Whitehall",819,TV Show,Netflix
Jack Whitehall: Christmas with My Father,2019,"Documentary, Comedy",5.9,64 min,Add a Plot,"Yemisi Brookes, Richard van't Riet, Jack Whitehall, Michael Whitehall, Hugh Bonneville, Graham Norton",632,TV Show,Netflix
Jack Whitehall: At Large,2017,Comedy,6.9,67 min,"Fresh from hosting the Royal Variety Performance and starring in Bad Education and A League Of Their Own, this is your chance to catch Jack at his dynamic best.","Brian Klein, Jack Whitehall","1,722",TV Show,Netflix
Iliza: Elder Millennial,2018,Comedy,7.2,72 min,"Newly engaged comic Iliza Shlesinger dives into undeniable truths about life at age 35, the insanity of the road traveled and what's to come.","Steve Paley, Hunter Hill, Iliza Shlesinger","3,261",TV Show,Netflix
Iliza Shlesinger: War Paint,2013,Comedy,6.7,75 min,"Her innocent good looks are just a cover for Last Comic Standing winner Iliza Shlesinger's acerbic, stream-of-conscious comedy that she unleashes on an unsuspecting audience in her hometown of Dallas in her stand-up special ""War Paint.""","Jay Chapman, Iliza Shlesinger","1,802",TV Show,Netflix
Iliza Shlesinger: Unveiled,2019,Comedy,6.5,78 min,"Iliza Shelsinger in her fifth Netflix stand-up special, discussing marriage and its traditions.","Steve Paley, Darren Capozzi, Iliza Shlesinger","1,234",TV Show,Netflix
Iliza Shlesinger: Freezing Hot,2015,"Documentary, Comedy",6.8,71 min,"Smart and brazen comedian Iliza Shlesinger applies her fresh, laugh-out-loud perspective to the universal struggles between men and women.","Samuel Brownfield, Iliza Shlesinger","2,237",TV Show,Netflix
Iliza Shlesinger: Confirmed Kills,2016,Comedy,6.6,77 min,"Iliza Shlesinger performs in this standup talking about dating, feminism and some of the intricacies associated with being a woman in the 21st century.","Bobcat Goldthwait, Iliza Shlesinger","2,463",TV Show,Netflix
Hasan Minhaj: Homecoming King,2017,Comedy,8.3,73 min,"In his first stand-up special, Hasan Minhaj weaves humorous and heartbreaking anecdotes to tell his life story as an Indian-American Muslim. Topics include racism, bullying and meeting the demanding expectations of his immigrant parents.","Christopher Storer, Hasan Minhaj","6,266",TV Show,Netflix
Harith Iskander: I Told You So,2018,Comedy,4.6,61 min,"Malaysian stand-up comedy icon, Harith Iskander, takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, Rick Astley and more.","Michael McKay, Harith Iskander",144,TV Show,Netflix
Hari Kondabolu: Warn Your Relatives,2018,Comedy,6.4,67 min,"Hari riffs on celebrity encounters, identity politics, and why firefighters are better than cops.","Bobcat Goldthwait, Hari Kondabolu",722,TV Show,Netflix
Hannibal Buress: Comedy Camisado,2016,Comedy,6.6,83 min,A night of stand-up with comedian Hannibal Buress.,"Lance Bangs, Hannibal Buress, Al Jackson, Dan Steinhaus, Tony Trimm","1,306",TV Show,Netflix
Hannah Gadsby: Nanette,2018,"Documentary, Comedy",8.3,69 min,"Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil.","Jon Olb, Madeleine Parry, Hannah Gadsby","9,884",TV Show,Netflix
Hannah Gadsby: Douglas,2020,Comedy,7.8,72 min,"Hannah Gadsby (""Nanette"") returns for her second stand-up special and shares her latest takes on popularity, identity, language, feminism and more.","Madeleine Parry, Hannah Gadsby","2,562",TV Show,Netflix
Grego Rossello: Disculpe Las Molestias,2019,Comedy,4.6,65 min,Gregorio Rosello is a stand up comedian. In his show he told with the audience about parts of his life and very common things that happened in Argentina. The show is incredible but in my ... See full summary »,"Juani Libonatti, Grego Rossello",17,TV Show,Netflix
Greg Davies: You Magnificent Beast,2018,Comedy,7.2,66 min,"British comedian Greg Davies revisits terrifying dates, manscaping disasters, his father's pranks and more in a savagely funny stand-up special.","Peter Orton, Greg Davies, The Phoenix Choir of Wales","1,663",TV Show,Netflix
Go! Go! Cory Carson: Summer Camp,2020,"Animation, Family",4.5,20 min,"Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.",Sunnie Leo,20,TV Show,Netflix
George Lopez: We'll Do It for Half,2020,Comedy,5.5,51 min,"Comedian George Lopez tackles the future and the past of Hispanic culture in America, touching on immigration, his tough relatives, aging and much more.","Troy Miller, George Lopez",337,TV Show,Netflix
Gad Elmaleh: Part En Live,2017,Comedy,6.8,57 min,Netflix stand-up special that the well known comedian performed in Montreal in English,"Mario Rouleau, Gad Elmaleh",331,TV Show,Netflix
Gad Elmaleh: American Dream,2018,Comedy,7.2,57 min,Gad Elmaleh's take on the American Dream and his experience as an immigrant in the USA.,"Michael Simon, Gad Elmaleh",852,TV Show,Netflix
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,2016,Comedy,7.5,87 min,"Hawaiian - shirt enthusiast Gabriel ""Fluffy"" Iglesias finds laughs in racist gift baskets, Prius - driving cops and all - female taco trucks.","Manny Rodriguez, Gabriel Iglesias","2,161",TV Show,Netflix
"Gabriel ""Fluffy"" Iglesias: One Show Fits All",2019,Comedy,7.3,90 min,"Gabriel ""Fluffy"" Iglesias discusses his teenage son, encounters with Snoop Dogg and an overzealous fan, and more.","Manny Rodriguez, Gabriel Iglesias","1,424",TV Show,Netflix
Fred Armisen: Standup For Drummers,2018,Comedy,5.8,65 min,"Comedian and drummer Fred Armisen performs stand-up material, music, and sketches for an audience of fellow drummers.","Lance Bangs, Fred Armisen, Clem Burke, Vinnie Colaiuta, Tre Cool","1,147",TV Show,Netflix
Frankie Boyle: Hurt Like You've Never Been Loved,2016,Comedy,7.6,87 min,"This notoriously controversial comedian delivers devastating social commentary by way of one-liners about the economy, corruption and more.","John L. Spencer, Frankie Boyle, Craig Campbell",553,TV Show,Netflix
Franco Escamilla: Por la anécdota,2018,Comedy,6.9,66 min,Add a Plot,"Ulises Valencia, Franco Escamilla",235,TV Show,Netflix
Franco Escamilla: Bienvenido al Mundo,2019,Comedy,7.2,54 min,"Comedian Franco Escamira shares the story of parenting when children are in trouble, while reflecting on gender, friendship and love.","Ulises Valencia, Franco Escamilla",144,TV Show,Netflix
Francesco de Carlo: Cose di Questo Mondo,2019,Comedy,6.4,61 min,"Taking to the stage in Milan, Francesco de Carlo opens up about bad habits, religion, politics and what he's learned from travelling the world.","Francesco Imperato, Francesco De Carlo",70,TV Show,Netflix
Fortune Feimster: Sweet & Salty,2020,Comedy,6.8,61 min,"Southern-born comedian Fortune Feimster recalls her childhood misadventures as a former Girl Scout, debutante and (disqualified) swim meet champion, and her family's complicated relationship with Hooters.","Krysia Plonka, Fortune Feimster",640,TV Show,Netflix
Fernando Sanjiao: Hombre,2018,Comedy,6.3,,Add a Plot,"Raúl Campos, Jan Suter, Fernando Sanjiao",53,TV Show,Netflix
Felipe Neto: Minha Vida Não Faz Sentido,2017,"Documentary, Comedy",4.5,87 min,"YouTube sensation Felipe Neto brings the stories from his autobiographical book named ""Não Faz Sentido - Por Trás da Câmera"" to the stage in his stand-up special.","Diego Pignataro, Felipe Neto, Maurício Meirelles",195,TV Show,Netflix
Fary Is the New Black,2018,Comedy,5.9,74 min,"Fashion faux pas, loving traps, racism - The French rising star of laughter, Fary analyzes the pitfalls of modern life and society with a lot of humor.","Richard Valverde, Fary",107,TV Show,Netflix
Fakkah Fuzz: Almost Banned,2018,Comedy,3.9,60 min,Add a Plot,"Michael McKay, Fakkah Fuzz",41,TV Show,Netflix
Fadily Camara: La plus drôle de tes copines,2019,Comedy,5.5,54 min,Add a Plot,"Fary Brito, Fadily Camara",31,TV Show,Netflix
Fabrizio Copano: Solo pienso en mi,2017,Comedy,4.7,,Add a Plot,"Francisco Schultz, Rodrigo Toro Solovera, Fabrizio Copano",27,TV Show,Netflix
Especial de Ano Todo com Clarice Falcão,2017,Comedy,6.1,,"Multitalented performer Clarice Falcão packs a year of ideas into one special with songs, skits and jokes dedicated to each month on the calendar.",Clarice Falcão,11,TV Show,Netflix
Eric Andre: Legalize Everything,2020,Comedy,6.1,51 min,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.","Eric Notarnicola, Eric André","1,715",TV Show,Netflix
Enissa Amani: Ehrenwort,2018,Comedy,5.4,60 min,"Live from Hamburg, Iranian-German comedian Enissa Amani shares her take on German engineering, tax deductions and online fan-mail etiquette.","Max Amini, Enissa Amani",160,TV Show,Netflix
Ellen DeGeneres: Relatable,2018,Comedy,6.5,68 min,Comedian Ellen DeGeneres performs a live stand-up comedy set in Seattle.,"Joel Gallen, Tig Notaro, Laura Dern, Ellen DeGeneres, Eddie Vedder, Jill Vedder","4,285",TV Show,Netflix
"El especial de Alex Fernández, el Especial",2017,Comedy,6.7,52 min,"From a Mexico City theme park, energetic stand-up Alex Fernández riffs on music, cheap toys, insecurity and other fun things about growing up.","Raúl Campos, Jan Suter, Alex Fernández",59,TV Show,Netflix
Edoardo Ferrario: Temi Caldi,2019,Comedy,6.8,65 min,Add a Plot,"Francesco Imperato, Edoardo Ferrario",91,TV Show,Netflix
"Edmilson Filho: Notas, uma Comédia de Relacionamentos",2018,Comedy,5.8,79 min,"Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women.","Halder Gomes, Juliana Beirac, Edmilson Filho",12,TV Show,Netflix
Dragons: Rescue Riders: Hunt for the Golden Dragon,2020,"Animation, Adventure, Family",5.7,46 min,"The Rescue Riders have been asked to find a precious golden dragon egg, and keep it safe from evil pirates.","Greg Rankin, T.J. Sullivan, Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu",91,TV Show,Netflix
Dieter Nuhr: Nuhr in Berlin,2016,Comedy,4.9,69 min,"The cerebral and popular German cabaret comic expounds his theories on gender norms, primal instincts and a decidedly gastrointestinal Big Bang.","Volker Weicker, Dieter Nuhr",62,TV Show,Netflix
Derren Brown: Sacrifice,2018,Reality-TV,7.1,49 min,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger,"Megan Affonso, Derren Brown, Bob Cable, Christopher Crabinha","1,587",TV Show,Netflix
Deon Cole: Cole Hearted,2019,Comedy,6.9,69 min,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp.""","Ryan Polito, Deon Cole",635,TV Show,Netflix
Demetri Martin: The Overthinker,2018,Comedy,7.2,56 min,"With his signature one-liners and drawings, Demetri Martin muses on doughnut holes, dogs, sports bars, the alphabet's most aggressive letters and more.","Jay Karas, Demetri Martin","1,406",TV Show,Netflix
Demetri Martin: Live (At the Time),2015,"Documentary, Comedy",7.4,61 min,Demetri Martin performs his newest stand-up routine at The Lincoln Theater in Washington D.C.,"Jay Karas, Demetri Martin","1,893",TV Show,Netflix
Def Comedy Jam 25,2017,"Documentary, Comedy",6.6,80 min,"Def Comedy Jam 25 celebrates the impact and legacy of the groundbreaking HBO comedy series Def Comedy Jam, which debut 25-years ago running from 1992 to 1997. Def Comedy Jam 25 celebrates ... See full summary »","Louis J. Horvitz, Dave Chappelle, Tiffany Haddish, Steve Harvey, Bill Bellamy",912,TV Show,Netflix
